Event,Date⇩,Event,Venue,Competitors,url,track_name,race_country
2000 Tissot UCI World Cup DH #3,3rd Jun 2000,2000 Tissot UCI World Cup DH #3,"Maribor, Slovenia",201,https://www.rootsandrain.com/event834/2000-jun-3-tissot-uci-world-cup-dh-3-maribor/,Maribor, Slovenia
2000 Tissot UCI World Cup DH #2,28th May 2000,2000 Tissot UCI World Cup DH #2,"Cortina d'Ampezzo, Italy",213,https://www.rootsandrain.com/event833/2000-may-28-tissot-uci-world-cup-dh-2-cortina-dampezzo/,Cortina d'Ampezzo, Italy
2000 Tissot UCI World Cup DH #1,21st May 2000,2000 Tissot UCI World Cup DH #1,"Les Gets, France",110,https://www.rootsandrain.com/event832/2000-may-21-tissot-uci-world-cup-dh-1-les-gets/,Les Gets, France
UCI - DHI World Championships '01,16th Sep 2001,UCI - DHI World Championships '01,"Vail, CO, USA",144,https://www.rootsandrain.com/event1452/2001-sep-16-uci-dhi-world-championships-01-vail-co/,Vail, USA
2001 Tissot UCI World Cup DH #8,26th Aug 2001,2001 Tissot UCI World Cup DH #8,"Mont-Sainte-Anne, QC, Canada",110,https://www.rootsandrain.com/event831/2001-aug-26-tissot-uci-world-cup-dh-8-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
2001 Tissot UCI World Cup DH #7,12th Aug 2001,2001 Tissot UCI World Cup DH #7,"Kaprun, Austria",195,https://www.rootsandrain.com/event830/2001-aug-12-tissot-uci-world-cup-dh-7-kaprun/,Kaprun, Austria
2001 Tissot UCI World Cup DH #6,5th Aug 2001,2001 Tissot UCI World Cup DH #6,"Leysin, Switzerland",184,https://www.rootsandrain.com/event829/2001-aug-5-tissot-uci-world-cup-dh-6-leysin/,Leysin, Switzerland
2001 Tissot UCI World Cup DH #5,29th Jul 2001,2001 Tissot UCI World Cup DH #5,"Arai Mountain, Japan",73,https://www.rootsandrain.com/event828/2001-jul-29-tissot-uci-world-cup-dh-5-arai-mountain/,Arai Mountain, Japan
2001 Tissot UCI World Cup DH #4,15th Jul 2001,2001 Tissot UCI World Cup DH #4,"Durango, CO, USA",93,https://www.rootsandrain.com/event827/2001-jul-15-tissot-uci-world-cup-dh-4-durango-co/,Durango, USA
2001 Tissot UCI World Cup DH #3,8th Jul 2001,2001 Tissot UCI World Cup DH #3,"Grouse Mountain, BC, Canada",123,https://www.rootsandrain.com/event826/2001-jul-8-tissot-uci-world-cup-dh-3-grouse-mountain-bc/,Grouse Mountain, Canada
2001 Tissot UCI World Cup DH #2,17th Jun 2001,2001 Tissot UCI World Cup DH #2,"Vars, France",192,https://www.rootsandrain.com/event825/2001-jun-17-tissot-uci-world-cup-dh-2-vars/,Vars, France
2001 Tissot UCI World Cup DH #1,10th Jun 2001,2001 Tissot UCI World Cup DH #1,"Maribor, Slovenia",197,https://www.rootsandrain.com/event824/2001-jun-10-tissot-uci-world-cup-dh-1-maribor/,Maribor, Slovenia
2002 Tissot UCI World Cup DH #6,8th Sep 2002,2002 Tissot UCI World Cup DH #6,"Les Gets, France",220,https://www.rootsandrain.com/event823/2002-sep-8-tissot-uci-world-cup-dh-6-les-gets/,Les Gets, France
UCI - DHI World Championships '02,1st Sep 2002,UCI - DHI World Championships '02,"Kaprun, Austria",226,https://www.rootsandrain.com/event1453/2002-sep-1-uci-dhi-world-championships-02-kaprun/,Kaprun, Austria
2002 Tissot UCI World Cup DH #5,14th Jul 2002,2002 Tissot UCI World Cup DH #5,"Telluride, CO, USA",108,https://www.rootsandrain.com/event822/2002-jul-14-tissot-uci-world-cup-dh-5-telluride-co/,Telluride, USA
2002 Tissot UCI World Cup DH #4,7th Jul 2002,2002 Tissot UCI World Cup DH #4,"Grouse Mountain, BC, Canada",CANCELLED,https://www.rootsandrain.com/event821/2002-jul-7-tissot-uci-world-cup-dh-4-grouse-mountain-bc/,Grouse Mountain, Canada
2002 Tissot UCI World Cup DH #3,30th Jun 2002,2002 Tissot UCI World Cup DH #3,"Mont-Sainte-Anne, QC, Canada",114,https://www.rootsandrain.com/event820/2002-jun-30-tissot-uci-world-cup-dh-3-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
2002 Tissot UCI World Cup DH #2,9th Jun 2002,2002 Tissot UCI World Cup DH #2,"Maribor, Slovenia",182,https://www.rootsandrain.com/event819/2002-jun-9-tissot-uci-world-cup-dh-2-maribor/,Maribor, Slovenia
2002 Tissot UCI World Cup DH #1,2nd Jun 2002,2002 Tissot UCI World Cup DH #1,"Fort William, UK",123,https://www.rootsandrain.com/event818/2002-jun-2-tissot-uci-world-cup-dh-1-fort-william/,Fort William, UK
2003 Tissot UCI World Cup DH #6,14th Sep 2003,2003 Tissot UCI World Cup DH #6,"Kaprun, Austria",232,https://www.rootsandrain.com/event817/2003-sep-14-tissot-uci-world-cup-dh-6-kaprun/,Kaprun, Austria
UCI - DHI World Championships '03,7th Sep 2003,UCI - DHI World Championships '03,"Lugano, Italy",218,https://www.rootsandrain.com/event1454/2003-sep-7-uci-dhi-world-championships-03-lugano/,Lugano, Italy
2003 Tissot UCI World Cup DH #5,13th Jul 2003,2003 Tissot UCI World Cup DH #5,"Grouse Mountain, BC, Canada",113,https://www.rootsandrain.com/event816/2003-jul-13-tissot-uci-world-cup-dh-5-grouse-mountain-bc/,Grouse Mountain, Canada
2003 Tissot UCI World Cup DH #4,5th Jul 2003,2003 Tissot UCI World Cup DH #4,"Telluride, CO, USA",CANCELLED,https://www.rootsandrain.com/event7075/2003-jul-5-tissot-uci-world-cup-dh-4-telluride-co/,Telluride, USA
2003 Tissot UCI World Cup DH #3,29th Jun 2003,2003 Tissot UCI World Cup DH #3,"Mont-Sainte-Anne, QC, Canada",113,https://www.rootsandrain.com/event815/2003-jun-29-tissot-uci-world-cup-dh-3-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
2003 Tissot UCI World Cup DH #2,8th Jun 2003,2003 Tissot UCI World Cup DH #2,"Alpe d'Huez, France",227,https://www.rootsandrain.com/event814/2003-jun-8-tissot-uci-world-cup-dh-2-alpe-dhuez/,Alpe d'Huez, France
2003 Tissot UCI World Cup DH #1,1st Jun 2003,2003 Tissot UCI World Cup DH #1,"Fort William, UK",157,https://www.rootsandrain.com/event813/2003-jun-1-tissot-uci-world-cup-dh-1-fort-william/,Fort William, UK
2004 Tissot UCI World Cup DH #6,19th Sep 2004,2004 Tissot UCI World Cup DH #6,"Livigno, Italy",207,https://www.rootsandrain.com/event812/2004-sep-19-tissot-uci-world-cup-dh-6-livigno/,Livigno, Italy
UCI - DHI World Championships '04,11th Sep 2004,UCI - DHI World Championships '04,"Les Gets, France",224,https://www.rootsandrain.com/event1455/2004-sep-11-uci-dhi-world-championships-04-les-gets/,Les Gets, France
2004 Tissot UCI World Cup DH #5,4th Jul 2004,2004 Tissot UCI World Cup DH #5,"Calgary, AB, Canada",135,https://www.rootsandrain.com/event811/2004-jul-4-tissot-uci-world-cup-dh-5-calgary-ab/,Calgary, Canada
2004 Tissot UCI World Cup DH #4,27th Jun 2004,2004 Tissot UCI World Cup DH #4,"Mont-Sainte-Anne, QC, Canada",138,https://www.rootsandrain.com/event810/2004-jun-27-tissot-uci-world-cup-dh-4-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
2004 Tissot UCI World Cup DH #3,20th Jun 2004,2004 Tissot UCI World Cup DH #3,"Schladming, Austria",252,https://www.rootsandrain.com/event809/2004-jun-20-tissot-uci-world-cup-dh-3-schladming/,Schladming, Austria
2004 Tissot UCI World Cup DH #2,13th Jun 2004,2004 Tissot UCI World Cup DH #2,"Les Deux Alpes, France",231,https://www.rootsandrain.com/event808/2004-jun-13-tissot-uci-world-cup-dh-2-les-deux-alpes/,Les Deux Alpes, France
2004 Tissot UCI World Cup DH #1,6th Jun 2004,2004 Tissot UCI World Cup DH #1,"Fort William, UK",181,https://www.rootsandrain.com/event807/2004-jun-6-tissot-uci-world-cup-dh-1-fort-william/,Fort William, UK
2005 UCI World Cup DH #8,11th Sep 2005,2005 UCI World Cup DH #8,"Fort William, UK",168,https://www.rootsandrain.com/event262/2005-sep-11-uci-world-cup-dh-8-fort-william/,Fort William, UK
UCI - DHI World Championships '05,3rd Sep 2005,UCI - DHI World Championships '05,"Livigno, Italy",210,https://www.rootsandrain.com/event1456/2005-sep-3-uci-dhi-world-championships-05-livigno/,Livigno, Italy
2005 UCI World Cup DH #7,21st Aug 2005,2005 UCI World Cup DH #7,"Pila, Italy",110,https://www.rootsandrain.com/event261/2005-aug-21-uci-world-cup-dh-7-pila/,Pila, Italy
2005 UCI World Cup DH #6,10th Jul 2005,2005 UCI World Cup DH #6,"Angel Fire, NM, USA",96,https://www.rootsandrain.com/event260/2005-jul-10-uci-world-cup-dh-6-angel-fire-nm/,Angel Fire, USA
