Name,Name,Run 1,sex,rider_country,race_country,Date,track_name
Klaus HJELM,Klaus HJELM,8:02.93144,Men,Danish, Germany,23rd Sep 1995,Kirchzarten
Peter SOLSBAEK,Peter SOLSBAEK,8:29.55145,Men,Danish, Germany,23rd Sep 1995,Kirchzarten
Hyung-Rae JEONG,Hyung-Rae JEONG,8:35.98146,Men,South Korean, Germany,23rd Sep 1995,Kirchzarten
Christoph WALZ,Christoph WALZ,8:47.07147,Men,German, Germany,23rd Sep 1995,Kirchzarten
Ricardo OLIVEIRA,Ricardo OLIVEIRA,9:59.57148,Men,Brazilian, Germany,23rd Sep 1995,Kirchzarten
Alex BALAUD,Alex BALAUD,10:17.06149,Men,French, Germany,23rd Sep 1995,Kirchzarten
Brent COCHRANE,Brent COCHRANE,12:45.10150,Men,Australian, Germany,23rd Sep 1995,Kirchzarten
Luciano LANCELOTTI,Luciano LANCELOTTI,14:39.55151,Men,Brazilian, Germany,23rd Sep 1995,Kirchzarten
Miles DAVIS,Miles DAVIS,15:56.54152,Men,Australian, Germany,23rd Sep 1995,Kirchzarten
Antti-Pekka LAIHO,Antti-Pekka LAIHO,20:11.84153,Men,Finnish, Germany,23rd Sep 1995,Kirchzarten
Tony COOK,Tony COOK,DNF,Men,New Zealand, Germany,23rd Sep 1995,Kirchzarten
Ronny GEERTS,Ronny GEERTS,DNF,Men,Belgian, Germany,23rd Sep 1995,Kirchzarten
Paul GILSENAN,Paul GILSENAN,DNF,Men,Irish, Germany,23rd Sep 1995,Kirchzarten
Oscar SAIZ,Oscar SAIZ,DNF,Men,Spanish, Germany,23rd Sep 1995,Kirchzarten
Gustavo TRIVELLATTO,Gustavo TRIVELLATTO,DNF,Men,Brazilian, Germany,23rd Sep 1995,Kirchzarten
Leigh DONOVAN,Leigh DONOVAN,6:37.631,Women,American, Germany,23rd Sep 1995,Kirchzarten
Mercedes GONZALEZ,Mercedes GONZALEZ,6:46.032,Women,Spanish, Germany,23rd Sep 1995,Kirchzarten
Giovanna BONAZZI,Giovanna BONAZZI,6:52.353,Women,Italian, Germany,23rd Sep 1995,Kirchzarten
Missy GIOVE,Missy GIOVE,6:54.784,Women,American, Germany,23rd Sep 1995,Kirchzarten
Brigitta KASPER,Brigitta KASPER,6:57.075,Women,Swiss, Germany,23rd Sep 1995,Kirchzarten
Kim SONIER,Kim SONIER,6:57.946,Women,American, Germany,23rd Sep 1995,Kirchzarten
Katja REPO,Katja REPO,6:58.727,Women,Finnish, Germany,23rd Sep 1995,Kirchzarten
Regina STIEFL,Regina STIEFL,7:00.298,Women,German, Germany,23rd Sep 1995,Kirchzarten
Marla STREB,Marla STREB,7:00.999,Women,American, Germany,23rd Sep 1995,Kirchzarten
Sophie KEMPF,Sophie KEMPF,7:03.9710,Women,French, Germany,23rd Sep 1995,Kirchzarten
Rita BUERGI,Rita BUERGI,7:06.6811,Women,Swiss, Germany,23rd Sep 1995,Kirchzarten
Elke BRUTSAERT,Elke BRUTSAERT,7:07.1112,Women,American, Germany,23rd Sep 1995,Kirchzarten
Sabine DELMAS,Sabine DELMAS,7:10.1913,Women,French, Germany,23rd Sep 1995,Kirchzarten
Carole GRANGE,Carole GRANGE,7:15.0814,Women,French, Germany,23rd Sep 1995,Kirchzarten
Lisa SHER,Lisa SHER,7:16.4915,Women,American, Germany,23rd Sep 1995,Kirchzarten
Katrina MILLER,Katrina MILLER,7:21.5916,Women,Australian, Germany,23rd Sep 1995,Kirchzarten
Linda SPIAZZI,Linda SPIAZZI,7:21.6217,Women,Italian, Germany,23rd Sep 1995,Kirchzarten
Karen VAN MEERBEECK,Karen VAN MEERBEECK,7:23.3018,Women,British, Germany,23rd Sep 1995,Kirchzarten
Annick ERNY,Annick ERNY,7:24.6719,Women,French, Germany,23rd Sep 1995,Kirchzarten
Penny DAVIDSON,Penny DAVIDSON,7:25.7420,Women,American, Germany,23rd Sep 1995,Kirchzarten
Ulrike HAMMA,Ulrike HAMMA,7:29.3121,Women,German, Germany,23rd Sep 1995,Kirchzarten
Leslie OSMUNDSEN,Leslie OSMUNDSEN,7:30.2822,Women,American, Germany,23rd Sep 1995,Kirchzarten
Mikki DOUGLASS,Mikki DOUGLASS,7:31.4123,Women,American, Germany,23rd Sep 1995,Kirchzarten
Elladee BROWN,Elladee BROWN,7:32.1324,Women,Canadian, Germany,23rd Sep 1995,Kirchzarten
Tanya CHYPLYK,Tanya CHYPLYK,7:34.2625,Women,Canadian, Germany,23rd Sep 1995,Kirchzarten
Britta KOBES,Britta KOBES,7:37.0926,Women,German, Germany,23rd Sep 1995,Kirchzarten
Nathalie PHELPS,Nathalie PHELPS,7:41.7227,Women,Austrian, Germany,23rd Sep 1995,Kirchzarten
Carole GUIMARD,Carole GUIMARD,7:42.8128,Women,French, Germany,23rd Sep 1995,Kirchzarten
Kathy SESSLER,Kathy SESSLER,7:44.6129,Women,American, Germany,23rd Sep 1995,Kirchzarten
