,Name,Name.1,Run 1,sex,rider_country,race_country,Date,track_name,rider_country_new,home_race,run_time,race_id,percent_time_back,best_results,worst_results
305,Takashi TSUKAMOTO,Takashi TSUKAMOTO,6:23.1176,Men,Japanese,Australia,22nd Sep 1996,Cairns,Japan,0,6.385293333333333,Cairns22nd Sep 1996,15.417378389533077,0,0
309,Andreas STEFFEN,Andreas STEFFEN,6:31.4780,Men,Swiss,Australia,22nd Sep 1996,Cairns,Switzerland,0,6.524633333333333,Cairns22nd Sep 1996,17.93601875032007,0,1
321,Christian TAILLEFER,Christian TAILLEFER,8:21.0292,Men,French,Australia,22nd Sep 1996,Cairns,France,0,8.350486666666667,Cairns22nd Sep 1996,50.93923317698024,0,1
328,Rob WARNER,Rob WARNER,DNF,Men,British,Australia,22nd Sep 1996,Cairns,UK,0,,Cairns22nd Sep 1996,167.07586255979584,0,1
329,Anne-Caroline CHAUSSON,Anne-Caroline CHAUSSON,5:27.581,Women,French,Australia,22nd Sep 1996,Cairns,France,0,5.459683333333333,Cairns22nd Sep 1996,0.0,1,1
330,Leigh DONOVAN,Leigh DONOVAN,5:27.762,Women,American,Australia,22nd Sep 1996,Cairns,USA,0,5.4627,Cairns22nd Sep 1996,0.05525350981894217,1,0
331,Missy GIOVE,Missy GIOVE,5:31.373,Women,American,Australia,22nd Sep 1996,Cairns,USA,0,5.522883333333334,Cairns22nd Sep 1996,1.1575762941074208,1,0
332,Giovanna BONAZZI,Giovanna BONAZZI,5:39.374,Women,Italian,Australia,22nd Sep 1996,Cairns,Italy,0,5.656233333333334,Cairns22nd Sep 1996,3.6000256425128496,1,0
333,Kim SONIER,Kim SONIER,5:40.435,Women,American,Australia,22nd Sep 1996,Cairns,USA,0,5.673916666666667,Cairns22nd Sep 1996,3.923915001175282,1,0
334,Mercedes GONZALEZ,Mercedes GONZALEZ,5:42.736,Women,Spanish,Australia,22nd Sep 1996,Cairns,Spain,0,5.712266666666666,Cairns22nd Sep 1996,4.6263366922989935,0,0
336,Marla STREB,Marla STREB,5:49.458,Women,American,Australia,22nd Sep 1996,Cairns,USA,0,5.8243,Cairns22nd Sep 1996,6.67834825585123,0,0
337,Elke BRUTSAERT,Elke BRUTSAERT,5:49.569,Women,American,Australia,22nd Sep 1996,Cairns,USA,0,5.82615,Cairns22nd Sep 1996,6.712233004966706,0,0
339,Katja REPO,Katja REPO,5:54.8611,Women,Finnish,Australia,22nd Sep 1996,Cairns,Finland,0,5.914351666666667,Cairns22nd Sep 1996,8.327741840949265,0,1
341,Malin LINDGREN,Malin LINDGREN,6:02.4113,Women,Swedish,Australia,22nd Sep 1996,Cairns,Sweden,0,6.040188333333333,Cairns22nd Sep 1996,10.632576370424406,0,0
